"totalcurrval","livingarea","dep","size","zone","actype","bedrms","bathhalf","type"
NA,1120,23,0.14,"RS2","No AC",3,"1:0","Colonial"
126350,2022,13,0.25,"RM2","AC",3,"3:0","Colonial"
NA,1600,24,0.18,"RM2","No AC",3,"1:1","Colonial"
NA,2203,22,0.21,"RM3","No AC",4,"1:1","Colonial"
NA,1845,23,0.28,"RS1","AC",3,"2:0","Modern"
NA,2309,18,0.17,"RM3","AC",3,"2:1","Colonial"
NA,1992,22,0.17,"RS1","No AC",6,"3:0","Colonial"
NA,2429,28,0.09,"RS1","No AC",7,"2:0","Colonial"
76590,899,19,0.25,"RS2","AC",2,"1:0","Colonial"
NA,2114,28,0.18,"RS2","No AC",3,"2:0","Modern"
133810,2501,28,0.16,"RS3","No AC",4,"3:1","Ranch"
NA,1446,28,0.31,"RM1","No AC",4,"1:0","Ranch"
437570,5648,28,0.56,"RM3","No AC",7,"4:1","Ranch"
235140,3629,28,0.31,"RS2","No AC",5,"3:1","Other"
88100,1268,22,0.13,"RS3","No AC",3,"1:1","Other"
NA,2248,22,0.26,"RS2","No AC",4,"1:0","Other"
NA,1212,28,0.08,"RM2","No AC",3,"1:0","Other"
NA,3393,38,0.12,"RM1","No AC",6,"3:0","Other"
94400,3110,22,0.14,"RM1","No AC",6,"3:0","Modern"
116660,3088,28,0.18,"RS3","No AC",3,"2:0","Colonial"
72310,2184,15,0.15,"RM2","No AC",6,"2:0","Ranch"
184490,2344,20,0.33,"RS3","AC",3,"2:1","Other"
63490,1647,22,0.11,"RM2","No AC",4,"2:0","Other"
87580,1208,22,0.13,"RS2","No AC",3,"1:1","Modern"
72000,1479,17,0.1,"RS3","No AC",2,"1:0","Modern"
NA,2215,28,0.12,"RS2","No AC",4,"2:0","Ranch"
NA,1987,28,0.08,"RM2","No AC",4,"2:1","Other"
81160,1525,28,0.23,"Other","No AC",3,"2:0","Modern"
NA,1462,28,0.1,"RM2","No AC",3,"2:0","Ranch"
36260,780,28,0.04,"RM2","No AC",2,"1:1","Other"
46350,2240,50,0.07,"RS2","No AC",4,"2:0","Ranch"
NA,924,28,0.11,"RS2","AC",3,"1:0","Other"
NA,1280,50,0.1,"RM3","No AC",4,"2:0","Colonial"
NA,1350,24,0.14,"RM2","No AC",3,"1:0","Other"
98880,2234,38,0.94,"RM1","No AC",4,"2:0","Other"
NA,4172,22,0.4,"RM2","No AC",6,"4:0","Colonial"
116350,1552,19,0.26,"RS2","AC",3,"2:0","Other"
NA,2621,28,0.15,"RS1","No AC",6,"4:0","Other"
71470,2008,22,0.12,"RM2","No AC",4,"2:0","Colonial"
139210,1720,19,0.26,"RS1","AC",3,"2:0","Other"
93000,2343,22,0.14,"RS3","AC",4,"2:0","Other"
NA,1501,11,0.21,"RS1","No AC",3,"1:1","Ranch"
192620,1849,22,0.17,"RS1","No AC",3,"1:1","Ranch"
57790,1368,38,0.1,"RS3","No AC",3,"1:0","Other"
NA,2911,28,0.13,"RS1","No AC",6,"3:1","Other"
115960,1576,28,0.21,"RS3","No AC",3,"1:1","Colonial"
NA,2165,24,0.21,"RS2","AC",4,"2:1","Ranch"
208500,3619,37,0.18,"RM1","No AC",6,"3:1","Colonial"
71970,1162,22,0.09,"RS2","No AC",3,"1:0","Colonial"
103610,1161,20,0.67,"RS2","No AC",1,"1:0","Other"
138890,1802,22,0.23,"RS2","No AC",3,"1:1","Other"
NA,2192,28,0.15,"RM2","No AC",6,"2:0","Colonial"
NA,3648,22,0.21,"RM1","AC",5,"3:1","Other"
88460,3073,28,0.07,"RS1","No AC",7,"3:0","Other"
93320,4072,22,0.12,"RS2","No AC",2,"4:0","Other"
NA,3229,38,0.08,"RS2","No AC",7,"3:0","Other"
137480,3312,22,0.13,"RM2","AC",6,"3:0","Other"
NA,3345,20,0.35,"RM2","AC",3,"2:1","Other"
62470,2568,28,0.07,"Other","No AC",5,"3:0","Ranch"
67730,1212,28,0.09,"RM1","No AC",3,"1:1","Colonial"
78400,1908,28,0.45,"RM3","No AC",4,"2:0","Other"
NA,2190,22,0.22,"RM3","No AC",2,"2:0","Ranch"
NA,1720,22,0.18,"RM2","No AC",4,"1:1","Other"
92200,2206,28,0.13,"RS2","No AC",4,"2:0","Modern"
71580,1040,18,0.12,"RS3","No AC",2,"1:0","Colonial"
NA,2078,28,0.23,"RS1","AC",4,"2:1","Other"
84540,2916,28,0.12,"RS1","No AC",4,"2:0","Colonial"
129850,2116,17,0.32,"RM2","AC",3,"2:0","Colonial"
320290,3997,22,0.15,"RM1","No AC",7,"3:1","Other"
99270,1672,28,0.07,"RS2","No AC",4,"2:0","Other"
143080,2192,27,0.07,"RM2","No AC",4,"2:0","Colonial"
240150,3712,28,0.07,"RS1","No AC",6,"3:1","Colonial"
74810,1241,28,0.17,"RS1","No AC",3,"1:1","Other"
88690,1293,22,0.13,"RM3","No AC",3,"1:1","Other"
72840,2672,28,0.15,"RS3","No AC",4,"2:0","Modern"
90100,4046,38,0.11,"RS2","No AC",4,"2:0","Other"
NA,2546,22,0.08,"Other","No AC",7,"3:0","Other"
NA,2199,11,0.13,"RM1","No AC",6,"2:0","Other"
NA,3241,28,0.16,"RS3","No AC",6,"2:1","Colonial"
112490,3412,22,0.2,"RM2","No AC",5,"3:0","Other"
NA,1035,22,0.12,"RS1","No AC",1,"1:1","Colonial"
NA,1000,22,0.17,"RS3","No AC",3,"1:1","Other"
84820,2503,22,0.12,"RS1","No AC",6,"3:0","Other"
NA,2760,28,0.1,"RS3","No AC",5,"3:0","Ranch"
NA,1098,28,0.21,"RS1","No AC",4,"1:1","Other"
NA,4701,28,0.14,"RM1","No AC",6,"2:0","Colonial"
84140,2189,21,0.2,"RM2","No AC",6,"2:0","Other"
NA,1743,27,0.15,"RM2","No AC",4,"1:1","Other"
63680,2830,50,0.21,"RS1","No AC",6,"3:0","Ranch"
NA,2872,22,0.4,"RM2","No AC",8,"3:0","Other"
NA,2385,38,0.14,"RM2","No AC",6,"2:0","Colonial"
91960,2450,28,0.18,"RS1","No AC",4,"2:0","Colonial"
58600,1524,28,0.09,"RS2","No AC",2,"2:0","Colonial"
64400,1908,28,0.1,"RM3","No AC",3,"1:0","Colonial"
83070,1382,28,0.15,"RS1","No AC",3,"1:1","Other"
75580,3504,38,0.1,"RS1","No AC",6,"3:0","Colonial"
99820,4164,28,0.11,"RM3","No AC",6,"3:0","Other"
NA,1247,24,0.24,"RS2","No AC",3,"1:1","Other"
46670,936,28,0.05,"RS1","No AC",4,"1:0","Colonial"
122990,1738,22,0.13,"RM2","No AC",4,"2:0","Other"
NA,1010,28,0.16,"RM3","No AC",2,"1:0","Ranch"
NA,1839,24,0.31,"RM2","No AC",3,"1:1","Ranch"
133700,1980,26,0.69,"RM3","No AC",5,"2:0","Other"
NA,1008,22,0.13,"RS2","No AC",4,"1:0","Colonial"
NA,1317,22,0.09,"RS2","No AC",3,"1:0","Other"
NA,1354,19,0.15,"RM2","No AC",2,"1:1","Colonial"
61580,1552,28,0.08,"RS1","No AC",4,"1:0","Other"
NA,2229,28,0.13,"RM2","No AC",5,"2:0","Other"
NA,1915,85,0.21,"RS2","No AC",3,"1:0","Colonial"
NA,1360,28,0.2,"RM3","No AC",2,"2:0","Colonial"
105350,2232,18,0.12,"RM2","No AC",6,"2:0","Other"
NA,2505,38,0.11,"RS3","No AC",6,"3:0","Other"
71380,1260,28,0.11,"RS1","No AC",3,"1:0","Ranch"
50860,1629,28,0.09,"RS3","No AC",3,"2:0","Colonial"
NA,3082,28,0.08,"RM1","No AC",4,"2:0","Other"
NA,1421,28,0.32,"Other","No AC",3,"1:1","Colonial"
69760,2258,28,0.11,"RS3","No AC",6,"4:0","Colonial"
74950,1936,22,0.08,"RS1","No AC",4,"2:0","Other"
84140,1687,28,0.2,"RM2","No AC",2,"2:0","Other"
NA,962,28,0.21,"RM2","No AC",3,"1:0","Other"
NA,1114,23,0.13,"RM1","No AC",2,"1:1","Other"
92190,3791,22,0.14,"RM3","No AC",5,"2:0","Other"
48620,1165,22,0.09,"RS3","No AC",3,"1:0","Colonial"
123740,2170,28,0.24,"RS1","No AC",4,"2:1","Other"
175610,2465,28,0.26,"RS1","No AC",4,"2:1","Colonial"
NA,2555,28,0.11,"Other","No AC",4,"2:0","Other"
76400,1375,22,0.18,"Other","No AC",3,"1:0","Modern"
86560,2981,28,0.1,"RS3","No AC",4,"2:0","Colonial"
130770,4231,28,0.15,"RS2","AC",4,"2:0","Other"
NA,2782,28,0.1,"RM2","No AC",4,"2:0","Other"
105080,1700,22,0.32,"RS2","No AC",2,"1:0","Colonial"
NA,1320,22,0.1,"RM1","No AC",3,"1:0","Other"
NA,3629,22,0.12,"RS3","No AC",6,"3:0","Other"
NA,1168,28,0.14,"RM2","No AC",3,"1:0","Colonial"
91250,3192,22,0.06,"RS3","No AC",4,"4:0","Ranch"
52740,921,28,0.13,"Other","No AC",3,"1:0","Other"
58600,2371,38,0.08,"RS2","No AC",5,"3:0","Other"
NA,1818,22,0.15,"RS3","No AC",3,"1:1","Ranch"
91920,1841,28,0.62,"RS2","No AC",4,"2:0","Ranch"
112920,3499,28,0.12,"RS2","No AC",6,"3:0","Colonial"
79150,926,26,0.13,"RS1","No AC",2,"1:0","Other"
NA,1694,28,0.08,"RS2","No AC",5,"2:0","Colonial"
NA,1598,23,0.15,"Other","AC",3,"2:0","Other"
NA,2409,17,0.29,"RM2","No AC",6,"2:1","Modern"
NA,962,38,0.14,"RM2","No AC",2,"1:0","Colonial"
71830,2520,28,0.07,"RS2","No AC",4,"3:0","Colonial"
NA,1787,27,0.32,"RM3","No AC",4,"2:0","Ranch"
97440,1584,20,0.3,"RM2","No AC",4,"1:1","Colonial"
91920,3341,28,0.15,"RS2","No AC",6,"3:0","Other"
NA,2098,22,0.11,"RS2","No AC",4,"2:0","Other"
NA,2716,22,0.09,"RS1","No AC",8,"4:0","Ranch"
NA,3652,28,0.09,"RS3","No AC",8,"4:0","Other"
NA,1463,26,0.15,"RS3","No AC",4,"1:1","Colonial"
NA,2779,22,0.22,"RS3","AC",4,"2:1","Other"
NA,2631,22,0.13,"Other","No AC",5,"2:0","Colonial"
102370,1634,27,0.16,"Other","AC",4,"1:1","Other"
46790,1188,28,0.11,"Other","No AC",3,"1:0","Colonial"
NA,888,29,0.15,"RS3","No AC",2,"1:0","Other"
60450,2160,38,0.1,"RS3","No AC",6,"4:0","Ranch"
114380,2806,28,0.09,"RM2","No AC",4,"3:0","Other"
NA,1152,17,0.17,"RS2","No AC",3,"1:1","Other"
NA,1320,22,0.22,"RM3","No AC",3,"1:0","Other"
NA,1469,23,0.15,"RS2","AC",3,"1:0","Colonial"
105990,3972,28,0.13,"RS2","No AC",6,"3:0","Other"
NA,1390,38,0.1,"RM2","No AC",3,"1:0","Modern"
NA,1292,23,0.18,"RS3","No AC",2,"1:0","Other"
102930,3387,28,0.16,"Other","No AC",5,"3:0","Other"
87020,2611,28,0.18,"RS2","No AC",5,"2:0","Other"
70560,2517,28,0.12,"RM2","No AC",6,"3:0","Modern"
NA,768,28,0.09,"RM3","No AC",2,"1:0","Other"
NA,4373,28,0.23,"RS2","No AC",7,"3:1","Colonial"
NA,3089,28,0.18,"Other","No AC",5,"3:1","Colonial"
NA,1040,22,0.06,"RS2","No AC",2,"1:1","Other"
NA,3521,28,0.12,"RS2","No AC",3,"3:0","Other"
NA,3867,22,0.12,"RM1","No AC",6,"3:0","Colonial"
108110,1950,33,0.26,"Other","No AC",3,"1:1","Modern"
NA,1253,28,0.13,"RS3","No AC",3,"1:1","Ranch"
138440,2866,28,0.16,"RS1","No AC",3,"1:1","Modern"
NA,2072,28,0.45,"RM2","No AC",4,"3:1","Modern"
48960,1528,38,0.09,"Other","No AC",3,"2:0","Modern"
69630,1900,28,0.1,"RS1","No AC",3,"3:0","Modern"
NA,1334,28,0.06,"Other","No AC",2,"1:0","Colonial"
110990,1952,27,0.16,"RS3","No AC",4,"1:1","Colonial"
97230,1428,23,0.27,"RM3","No AC",3,"2:0","Other"
125240,1774,28,0.17,"RS2","No AC",4,"1:1","Colonial"
87790,3410,28,0.16,"RS2","No AC",6,"3:0","Other"
51420,1296,28,0.06,"RM1","No AC",3,"1:0","Other"
NA,1610,28,0.11,"RM1","No AC",4,"2:1","Other"
NA,1401,28,0.1,"RS3","No AC",5,"1:1","Colonial"
140180,3621,28,0.11,"RM1","No AC",4,"2:0","Other"
NA,1456,22,0.2,"RS1","No AC",2,"1:0","Colonial"
70050,1120,14,0.08,"RS1","No AC",4,"2:0","Modern"
NA,3089,38,0.17,"Other","No AC",6,"3:0","Modern"
NA,1482,22,0.15,"RM2","No AC",3,"1:1","Other"
172660,2854,26,0.26,"RM1","AC",3,"3:1","Colonial"
49880,696,33,0.15,"RS3","No AC",2,"1:0","Colonial"
NA,1400,28,0.1,"RS2","No AC",4,"2:0","Other"
97800,2880,17,0.12,"RS2","No AC",5,"2:0","Other"
62890,2310,28,0.08,"Other","No AC",6,"3:0","Other"
54710,1224,22,0.08,"RM1","No AC",3,"1:1","Colonial"
57300,640,23,0.19,"RS3","No AC",2,"1:0","Colonial"
54300,1236,28,0.09,"RS1","No AC",3,"1:1","Other"
213230,2484,22,0.24,"RS2","AC",3,"3:0","Ranch"
NA,3631,22,0.42,"RM2","No AC",4,"3:1","Other"
44380,882,38,0.07,"RM2","No AC",2,"1:0","Other"
83840,3494,35,0.1,"RS1","No AC",6,"3:0","Other"
62030,1152,21,0.13,"RS2","No AC",3,"1:0","Ranch"
102530,3603,28,0.2,"RS1","No AC",6,"3:0","Other"
103110,1402,28,0.11,"RM3","No AC",3,"2:0","Modern"
67100,2899,38,0.12,"RM1","No AC",6,"3:0","Other"
132400,2324,22,0.17,"Other","AC",5,"2:1","Other"
NA,1306,20,0.13,"RS2","No AC",3,"1:1","Other"
NA,2815,22,0.13,"RS3","No AC",4,"2:0","Other"
82400,2914,22,0.13,"RS2","No AC",6,"3:0","Other"
NA,3146,28,0.13,"RS1","No AC",4,"2:0","Other"
NA,3439,28,0.12,"RM3","AC",3,"2:0","Colonial"
NA,3009,22,0.48,"RM3","No AC",5,"3:1","Modern"
81480,1580,28,0.38,"RM2","No AC",4,"1:0","Colonial"
108260,3969,28,0.15,"RM1","No AC",8,"3:0","Ranch"
NA,2354,22,0.19,"RM1","No AC",4,"2:0","Colonial"
85690,1219,22,0.15,"RS2","No AC",2,"2:0","Other"
139020,3596,32,0.13,"RM2","No AC",5,"3:0","Colonial"
74300,2625,11,0.19,"Other","No AC",6,"2:0","Other"
194990,3167,1,0.28,"RS3","AC",3,"2:1","Colonial"
NA,1112,28,0.11,"RM3","No AC",2,"1:0","Other"
92190,1224,22,0.22,"RM3","No AC",3,"1:1","Modern"
NA,2184,17,0.19,"RS2","No AC",6,"2:0","Other"
68950,2460,38,0.08,"RM2","No AC",2,"1:0","Other"
45500,1185,22,0.11,"RM3","No AC",2,"1:0","Colonial"
96650,1644,24,0.15,"RS1","No AC",3,"1:1","Colonial"
98850,2440,22,0.21,"RS2","No AC",3,"2:0","Other"
NA,1006,38,0.05,"Other","No AC",3,"1:0","Other"
NA,1909,23,0.21,"RS2","AC",2,"3:0","Colonial"
NA,2268,22,0.17,"RS1","AC",4,"3:0","Colonial"
101720,1368,35,0.16,"RS2","No AC",3,"1:0","Colonial"
NA,1552,38,0.17,"RS2","No AC",3,"1:0","Other"
84000,1478,28,0.11,"RM3","No AC",4,"1:1","Other"
NA,1472,28,0.08,"RM1","No AC",4,"1:0","Ranch"
NA,3472,28,0.25,"Other","No AC",8,"4:0","Modern"
NA,4202,50,0.09,"RM2","No AC",6,"3:0","Colonial"
88100,2428,28,0.17,"RS3","No AC",4,"2:1","Modern"
85820,2282,28,0.12,"RM2","No AC",2,"1:0","Colonial"
68610,2275,28,0.07,"RS2","No AC",4,"1:0","Modern"
53020,1257,15,0.13,"Other","No AC",3,"1:1","Ranch"
NA,1204,28,0.1,"RM2","No AC",3,"1:0","Colonial"
306680,3222,22,0.49,"RS2","No AC",4,"3:0","Colonial"
NA,3550,28,0.13,"RM1","No AC",6,"3:0","Other"
57680,3110,38,0.08,"RM3","No AC",3,"3:0","Colonial"
226240,3977,28,0.19,"RM2","No AC",4,"2:0","Other"
NA,2863,38,0.1,"RS2","No AC",6,"2:0","Other"
NA,1038,28,0.07,"RM2","No AC",2,"1:0","Other"
NA,2377,22,0.21,"RS1","No AC",5,"2:0","Modern"
NA,4248,28,0.25,"RS2","No AC",4,"2:0","Other"
NA,2842,28,0.1,"RS1","No AC",5,"3:0","Colonial"
51240,1392,28,0.08,"RM2","No AC",3,"1:0","Modern"
NA,2452,28,0.19,"RM2","No AC",3,"1:0","Modern"
NA,1450,20,0.27,"RM1","AC",2,"1:0","Colonial"
53060,1326,28,0.11,"RM2","No AC",4,"1:1","Other"
62450,1257,15,0.19,"RS2","No AC",3,"1:1","Colonial"
NA,4218,22,0.14,"RS2","No AC",5,"3:0","Other"
NA,2066,28,0.11,"RS2","No AC",4,"2:0","Other"
121520,2550,28,0.03,"RM3","No AC",5,"3:0","Other"
NA,2534,23,0.42,"RM1","AC",2,"2:0","Colonial"
NA,864,27,0.07,"RS2","No AC",2,"1:0","Colonial"
NA,1248,23,0.16,"RM2","No AC",2,"1:0","Colonial"
222860,4061,38,0.12,"RS1","No AC",7,"4:0","Other"
NA,3856,28,0.13,"RM2","No AC",6,"3:0","Colonial"
NA,2430,22,0.15,"RS1","No AC",6,"3:0","Ranch"
NA,2484,28,0.07,"RS2","No AC",5,"3:0","Other"
51980,1615,22,0.08,"RM1","No AC",4,"2:0","Colonial"
NA,3418,28,0.17,"RS2","No AC",7,"3:0","Other"
69870,1344,19,0.32,"RS2","No AC",2,"2:0","Modern"
134710,2132,22,0.21,"Other","AC",3,"1:1","Ranch"
NA,4436,38,0.15,"RS2","No AC",6,"3:0","Ranch"
104960,2932,28,0.21,"Other","No AC",4,"2:0","Other"
165250,2316,22,0.21,"RS1","No AC",4,"1:1","Colonial"
118910,2003,22,0.14,"RS1","No AC",3,"1:1","Colonial"
NA,2231,28,0.1,"RS3","No AC",6,"3:0","Colonial"
NA,4096,22,0.15,"RS2","No AC",6,"3:0","Colonial"
81910,1412,28,0.12,"RS2","No AC",3,"1:1","Colonial"
NA,2292,28,0.1,"RS3","No AC",4,"2:0","Other"
NA,3308,28,0.12,"RS2","No AC",7,"3:0","Colonial"
106940,1114,18,0.18,"RS1","AC",3,"1:1","Other"
NA,4007,28,0.14,"RS2","No AC",5,"3:0","Other"
50050,1748,38,0.07,"RM2","No AC",4,"1:1","Colonial"
NA,2054,28,0.13,"RM2","No AC",2,"2:1","Other"
NA,1360,28,0.15,"RM3","No AC",3,"1:1","Ranch"
NA,1839,22,0.17,"RS1","No AC",3,"1:1","Other"
159160,3143,28,0.17,"RS1","No AC",6,"4:0","Other"
NA,4378,28,0.07,"RS2","No AC",6,"3:1","Modern"
121980,1972,6,0.18,"RM1","AC",3,"1:1","Other"
NA,1092,19,0.23,"RS1","AC",2,"1:0","Other"
NA,1418,28,0.22,"Other","No AC",3,"1:1","Other"
NA,1936,22,0.09,"RS2","No AC",4,"2:0","Colonial"
NA,1549,22,0.27,"RM2","AC",3,"1:1","Other"
NA,1843,22,0.14,"RS2","No AC",4,"2:0","Colonial"
NA,3458,22,0.22,"RM2","No AC",6,"4:0","Colonial"
93480,2518,22,0.09,"Other","No AC",5,"1:0","Other"
44530,936,50,0.11,"RS2","No AC",3,"1:0","Other"
87400,1463,26,0.15,"RS3","No AC",3,"2:0","Other"
NA,1784,28,0.14,"RM2","No AC",2,"2:0","Ranch"
NA,1776,28,0.09,"RS2","No AC",4,"2:0","Colonial"
NA,3075,28,0.17,"RM2","No AC",5,"3:1","Colonial"
NA,1523,22,0.14,"Other","No AC",4,"1:1","Colonial"
70710,1760,28,0.17,"RS2","No AC",5,"2:0","Colonial"
NA,2317,28,0.14,"RS3","No AC",6,"3:0","Other"
103580,1621,22,0.14,"RS1","No AC",3,"1:1","Modern"
NA,1466,22,0.1,"RS3","No AC",2,"1:1","Colonial"
93290,3393,28,0.13,"RS1","No AC",5,"3:0","Other"
NA,988,28,0.05,"RS2","No AC",2,"1:1","Colonial"
82850,2618,28,0.16,"RM1","No AC",6,"3:0","Other"
NA,3532,28,0.19,"RS1","No AC",6,"3:0","Other"
94890,1488,22,0.23,"RM1","No AC",3,"1:1","Modern"
NA,1432,27,0.23,"Other","No AC",3,"2:0","Other"
99200,1448,18,0.21,"RS2","No AC",3,"1:1","Colonial"
NA,2822,38,0.12,"RS2","No AC",3,"3:0","Ranch"
NA,1124,38,0.06,"RS3","No AC",3,"1:1","Other"
85790,2850,28,0.1,"RM1","No AC",8,"3:0","Colonial"
NA,672,27,0.22,"RS3","AC",2,"1:0","Other"
55380,1366,22,0.14,"RS2","No AC",2,"2:0","Modern"
177220,2700,28,0.14,"RS1","No AC",5,"4:0","Colonial"
NA,1825,28,0.13,"RS2","No AC",4,"2:0","Modern"
74200,1364,22,0.15,"RM2","No AC",3,"1:1","Modern"
NA,1160,13,0.07,"RS2","No AC",3,"1:1","Colonial"
278740,4035,22,0.17,"RM2","AC",5,"2:1","Colonial"
146830,3624,22,0.22,"RM1","No AC",5,"3:0","Ranch"
NA,1651,28,0.04,"RM2","No AC",4,"2:0","Colonial"
73650,1016,23,0.17,"RS2","AC",2,"1:0","Modern"
117930,2276,38,0.12,"RS1","No AC",4,"2:0","Colonial"
NA,2184,11,0.2,"RM1","No AC",3,"2:1","Other"
NA,2010,22,0.12,"Other","No AC",3,"2:0","Other"
NA,960,19,0.24,"RM2","AC",3,"1:0","Other"
166770,3200,27,0.44,"Other","AC",4,"2:1","Other"
128730,2726,28,0.08,"RM3","No AC",8,"4:0","Colonial"
NA,1728,38,0.09,"RM1","No AC",2,"2:0","Ranch"
NA,2098,28,0.09,"RS2","No AC",4,"2:0","Other"
NA,1729,28,0.14,"RM1","No AC",3,"1:1","Modern"
59160,787,22,0.18,"RS2","No AC",3,"1:0","Modern"
NA,1290,24,0.16,"Other","No AC",3,"1:0","Other"
73120,1555,22,0.28,"RM1","No AC",3,"2:0","Colonial"
NA,3510,25,0.1,"RM1","No AC",6,"3:0","Other"
NA,1248,28,0.09,"RS2","No AC",3,"1:0","Modern"
NA,2564,28,0.18,"RM2","AC",3,"2:1","Colonial"
NA,4137,28,0.06,"RS3","No AC",6,"2:0","Other"
182560,3056,38,0.14,"RM2","AC",5,"4:0","Modern"
NA,3896,22,0.16,"RS2","No AC",6,"4:0","Colonial"
90790,1520,28,0.16,"RM2","No AC",3,"1:1","Other"
40950,864,27,0.06,"RM2","No AC",3,"1:0","Ranch"
NA,1496,22,0.09,"RS3","No AC",4,"2:0","Colonial"
NA,2550,28,0.03,"RS1","No AC",6,"3:0","Other"
NA,1611,22,0.24,"RS2","No AC",4,"2:0","Other"
NA,1467,28,0.15,"RS3","AC",3,"1:1","Other"
91740,2115,22,1.03,"RS3","No AC",5,"2:0","Other"
NA,1136,20,0.14,"RM1","No AC",3,"2:0","Other"
174790,2530,28,0.44,"RM2","No AC",4,"1:1","Colonial"
NA,1392,22,0.13,"RS3","No AC",3,"2:0","Ranch"
82530,2574,22,0.16,"RM2","No AC",4,"2:0","Other"
103580,1344,19,0.47,"RS1","No AC",2,"1:0","Ranch"
NA,2330,23,0.18,"RS3","No AC",4,"1:1","Colonial"
73680,1748,20,0.18,"RS3","No AC",3,"1:1","Colonial"
NA,1248,28,0.1,"RS3","No AC",2,"2:0","Modern"
NA,1320,22,0.08,"RS2","No AC",4,"1:0","Other"
183960,3527,22,0.19,"RM2","No AC",7,"3:0","Other"
NA,1320,28,0.25,"RM2","No AC",3,"1:0","Other"
69650,1296,38,0.77,"RM2","No AC",3,"1:0","Colonial"
89230,1028,17,0.18,"RS1","No AC",2,"1:0","Other"
163590,2685,19,0.25,"RM2","No AC",4,"2:1","Ranch"
NA,3591,38,0.1,"RS1","No AC",6,"3:0","Other"
43920,1258,28,0.06,"Other","No AC",3,"1:1","Other"
63640,2016,28,0.07,"RS2","No AC",4,"2:0","Other"
NA,816,24,0.2,"RS2","AC",3,"1:0","Colonial"
62720,1172,38,0.09,"RM2","No AC",3,"1:1","Other"
70400,1562,28,0.08,"RS1","No AC",3,"2:0","Ranch"
NA,2677,38,0.08,"RM3","No AC",4,"2:0","Other"
164160,2388,22,0.33,"RS2","No AC",3,"3:1","Ranch"
102980,1388,22,0.31,"RS2","No AC",2,"1:1","Other"
80080,1150,26,0.12,"RM3","No AC",3,"1:0","Other"
105250,1860,28,0.2,"RS3","No AC",4,"2:1","Other"
88600,2428,22,0.13,"RS1","No AC",4,"2:0","Other"
67100,2199,11,0.13,"RS3","No AC",6,"2:0","Other"
86390,2911,22,0.09,"RS2","No AC",5,"3:0","Modern"
158280,2245,17,0.23,"RS2","No AC",3,"3:0","Other"
110390,1680,27,0.28,"RM3","No AC",3,"1:1","Other"
103860,2613,22,0.14,"RS1","No AC",5,"3:0","Ranch"
NA,3192,28,0.15,"RS2","No AC",6,"4:0","Colonial"
NA,1011,23,0.19,"RM2","AC",2,"1:0","Other"
NA,2815,38,0.09,"RM1","No AC",6,"3:0","Other"
NA,1846,22,0.23,"RS2","AC",3,"2:1","Other"
46830,1192,28,0.04,"RM2","No AC",5,"1:1","Colonial"
NA,1280,27,0.2,"RM2","No AC",2,"1:1","Modern"
69760,2441,28,0.19,"RM1","No AC",2,"2:0","Other"
NA,1460,38,0.14,"RS2","No AC",3,"1:0","Colonial"
NA,1125,19,0.24,"RS1","No AC",3,"1:0","Colonial"
85520,2408,28,0.16,"RS1","No AC",4,"2:0","Modern"
68680,1340,28,0.2,"RS2","No AC",3,"1:1","Other"
63630,1870,28,0.07,"RM2","No AC",3,"1:0","Other"
NA,1470,22,0.16,"RS1","No AC",4,"1:1","Colonial"
NA,3411,22,0.11,"RS2","No AC",6,"3:0","Other"
140990,3582,28,0.11,"RS2","AC",6,"3:0","Colonial"
75840,1176,21,0.11,"Other","AC",3,"1:1","Colonial"
NA,972,28,0.17,"RS3","No AC",3,"1:0","Other"
87570,2336,8,0.14,"RM2","No AC",6,"3:0","Other"
86740,3183,28,0.12,"RS2","No AC",6,"2:0","Other"
52640,1320,28,0.06,"RM3","No AC",3,"1:0","Other"
51100,1322,22,0.06,"RM2","No AC",4,"1:0","Other"
168110,2845,28,0.28,"RS3","No AC",3,"1:1","Modern"
NA,1309,28,0.14,"RM2","No AC",2,"1:1","Colonial"
NA,3048,28,0.11,"RS2","No AC",5,"3:0","Ranch"
NA,3350,28,0.18,"RS2","No AC",6,"3:0","Colonial"
NA,2962,28,0.13,"RS1","No AC",7,"3:0","Modern"
134690,1714,22,0.14,"RS2","No AC",4,"2:0","Ranch"
142840,2258,28,0.2,"RS3","No AC",4,"1:0","Colonial"
NA,1774,13,0.24,"RM2","AC",3,"2:1","Modern"
229740,3755,28,0.21,"RM3","No AC",3,"2:0","Other"
70030,1315,33,0.16,"Other","No AC",3,"1:0","Other"
95860,3360,22,0.13,"Other","No AC",8,"4:0","Colonial"
82850,2405,28,0.11,"RM1","No AC",5,"2:0","Colonial"
77460,1200,21,0.13,"RM1","No AC",3,"1:0","Other"
NA,2792,28,0.12,"Other","No AC",3,"2:0","Other"
NA,4918,19,0.17,"RM1","No AC",4,"4:0","Other"
95410,1428,21,0.25,"RM2","No AC",3,"1:1","Colonial"
NA,2042,28,0.11,"RM1","No AC",5,"2:0","Other"
100240,3162,22,0.2,"RM2","No AC",4,"2:0","Other"
94750,3629,28,0.15,"RS3","No AC",5,"3:0","Modern"
151140,2064,22,0.22,"RS2","AC",4,"1:1","Other"
NA,1964,27,0.17,"Other","No AC",4,"1:1","Other"
